level,question,option1,option2,option3,option4,correctOption,feedback1,feedback2,feedback3,feedback4
Iniciante,"O que é uma Fake News?","Um erro de digitação em uma reportagem","Uma fofoca entre amigos","Uma informação falsa divulgada como se fosse verdadeira","Uma notícia verdadeira publicada por um jornal",3,"Não, um erro de digitação é apenas um erro simples. Fake news é algo muito mais grave.","Fofocas não são necessariamente fake news públicas. As fake news são informações falsas disseminadas em massa.","Correto! Fake news são informações fabricadas ou distorcidas apresentadas como fatos verdadeiros para enganar as pessoas.","Não, isso seria uma notícia legítima. As fake news são sempre falsas ou enganosas."
Iniciante,"Como você pode ajudar a prevenir o compartilhamento de fake news?","Compartilhar tudo sem verificar a fonte","Verificar a fonte, consultar fatos e não compartilhar se estiver incerto","Confiar apenas no que seus amigos compartilham","Compartilhar tudo que pareça importante",2,"Nunca! Sempre verifique a fonte antes de compartilhar qualquer informação importante.","Excelente! Sempre verifique a credibilidade da fonte e confirme os fatos antes de compartilhar.","Amigos bem-intencionados também podem compartilhar informações falsas sem saber.","Só porque algo parece importante não significa que é verdadeiro. Sempre verifique!"
Intermediário,"O que é Phishing?","Pesca de verdade","Um ataque cibernético que engana pessoas para roubar informações pessoais","Um software que protege seu computador","Um tipo de vírus que destrói arquivos",2,"Não, phishing é um termo técnico de segurança. A palavra ""phishing"" é um jogo de palavras com ""fishing"" (pesca).","Correto! Phishing é quando golpistas fingem ser pessoas confiáveis para roubar suas informações sensíveis.","Não, phishing é justamente uma ameaça, não uma proteção.","Phishing não é um vírus. É uma técnica de engenharia social para enganar pessoas."
Intermediário,"Qual é a senha mais segura?","Sua data de nascimento (ex: 12051990)","Uma mistura de letras maiúsculas, minúsculas, números e símbolos","Seu nome + um número (ex: João123)","Uma palavra do dicionário (ex: Gato2024)",2,"Datas de nascimento são fáceis de descobrir ou adivinhar. Não use informações pessoais.","Perfeito! Senhas fortes combinam diferentes tipos de caracteres e são longas (mínimo 12 caracteres).","Senhas com seu nome são fracas. Os criminosos tentam primeiro informações pessoais.","Palavras de dicionário podem ser quebradas rapidamente usando ferramentas de ataque. Use uma combinação aleatória."
Intermediário,"O que você deve fazer se receber um email suspeito pedindo seu usuário e senha?","Responder com seus dados para confirmar sua identidade","Clicar no link para verificar se é verdadeiro","Ignorar ou denunciar como spam/phishing","Enviar para seus amigos para eles também verificarem",3,"Nunca! Empresas legítimas nunca pedem dados sensíveis por email. Isso é phishing!","Muito perigoso! O link pode levar a um site falso. Sempre vá diretamente ao site da empresa no navegador.","Correto! Sempre desconfie de emails inesperados pedindo informações pessoais.","Não! Isso pode ajudar os criminosos. Simplesmente delete ou denuncie."
Avançado,"Como você deve se proteger ao usar Internet em WiFi público?","Não usar qualquer site que peça senha","Usar uma VPN (Rede Privada Virtual) para criptografar sua conexão","Confiar que a rede é segura porque tem um grande número de usuários","Usar qualquer rede WiFi sem restrições",2,"Bem conservador, mas existem maneiras mais práticas de se proteger.","Excelente! Uma VPN criptografa seus dados e impede que pessoas na mesma rede os vejam.","Não, a quantidade de usuários não garante segurança. WiFis públicas são ambientes arriscados.","WiFis públicas são vulneráveis. Sempre proteja sua conexão."
Iniciante,"Qual informação pessoal É SEGURO compartilhar nas redes sociais?","Seu número de documento de identidade","Sua localização em tempo real","Informações gerais como sua profissão ou hobbies favoritos","Sua senha de email ou redes sociais",3,"Nunca compartilhe documentos! Podem ser usados para fraude.","Perigoso! Pode permitir que criminosos saibam quando você não está em casa.","Correto! Informações gerais podem ser compartilhadas. Evite dados sensíveis como endereço completo, telefone ou dados bancários.","Nunca! Suas senhas são o acesso principal às suas contas. Mantenha-as absolutamente privadas."
Avançado,"Como identificar um site falso (site de phishing)?","Observar se a URL começar com ""https://"" e tem um cadeado","Se o site tem um logo similar ao original, é confiável","Se o site pede muitas informações pessoais, é seguro","Se o endereço (URL) é levemente diferente do original",1,"Bom! Um site seguro deve ter HTTPS. Porém, note a URL com cuidado - ""https://amz0n.com"" é falso mesmo com HTTPS.","Não! Sites falsos frequentemente copiam logos de sites legítimos. Verifique a URL!","Aviso! Sites legítimos pedem informações apenas quando necessário. Muitas solicitações = suspeita.","Isso pode ser phishing! Criminosos usam URLs muito similares. Verifique caractere por caractere!"
Intermediário,"O que você deve fazer para se proteger do Cyberbullying?","Manter configurações de privacidade abertas para todos","Bloquear contatos suspeitos, não compartilhar fotos íntimas e denunciar abusos","Responder agressivamente aos comentários negativos","Aceitar solicitações de amizade de desconhecidos",2,"Não! Configure sua privacidade para limitar quem pode ver suas publicações.","Correto! Proteja sua privacidade, controle o acesso ao seu perfil e denuncie comportamento ofensivo.","Não, isso pode piorar a situação. Denuncie em vez de responder.","Cuidado! Pessoas más podem se passar por outras pessoas para bullying ou golpes."
Avançado,"Por que é importante manter seu software e antivírus atualizados?","Apenas para ter mais espaço no computador","Para corrigir vulnerabilidades de segurança e proteger contra novas ameaças","Porque o sistema obriga","Para deixar o computador mais lento",2,"Não, atualizações ocupam espaço. Elas resolvem problemas de segurança!","Excelente! Atualizações corrigem falhas de segurança que criminosos exploram. Sempre atualize!","O sistema recomenda, mas o motivo principal é segurança.","Não! Embora atualizações possam consumir recursos, a proteção vale a pena."
