level;question;option1;option2;option3;option4;correctOption;feedback1;feedback2;feedback3;feedback4
Iniciante;O que é uma Fake News?;Um erro de digitação em uma reportagem;Uma fofoca entre amigos;Uma informação falsa divulgada como se fosse verdadeira;Uma notícia verdadeira publicada por um jornal;3;Não, um erro de digitação é apenas um erro simples. Fake news é algo muito mais grave.;Fofocas não são necessariamente fake news públicas. As fake news são informações falsas disseminadas em massa.;Correto! Fake news são informações fabricadas ou distorcidas apresentadas como fatos verdadeiros para enganar as pessoas.;Não, isso seria uma notícia legítima. As fake news são sempre falsas ou enganosas.
Iniciante;Como você pode ajudar a prevenir o compartilhamento de fake news?;Compartilhar tudo sem verificar a fonte;Verificar a fonte, consultar fatos e não compartilhar se estiver incerto;Confiar apenas no que seus amigos compartilham;Compartilhar tudo que pareça importante;2;Nunca! Sempre verifique a fonte antes de compartilhar qualquer informação importante.;Excelente! Sempre verifique a credibilidade da fonte e confirme os fatos antes de compartilhar.;Amigos bem-intencionados também podem compartilhar informações falsas sem saber.;Só porque algo parece importante não significa que é verdadeiro. Sempre verifique!
Intermediário;O que é Phishing?;Pesca de verdade;Um ataque cibernético que engana pessoas para roubar informações pessoais;Um software que protege seu computador;Um tipo de vírus que destrói arquivos;2;"Não, phishing é um termo técnico de segurança. A palavra ""phishing"" é um jogo de palavras com ""fishing"" (pesca).";Correto! Phishing é quando golpistas fingem ser pessoas confiáveis para roubar suas informações sensíveis.;Não, phishing é justamente uma ameaça, não uma proteção.;Phishing não é um vírus. É uma técnica de engenharia social para enganar pessoas.
Intermediário;Qual é a senha mais segura?;Sua data de nascimento (ex: 12051990);Uma mistura de letras maiúsculas, minúsculas, números e símbolos;Seu nome + um número (ex: João123);Uma palavra do dicionário (ex: Gato2024);2;Datas de nascimento são fáceis de descobrir ou adivinhar. Não use informações pessoais.;Perfeito! Senhas fortes combinam diferentes tipos de caracteres e são longas (mínimo 12 caracteres).;Senhas com seu nome são fracas. Os criminosos tentam primeiro informações pessoais.;Palavras de dicionário podem ser quebradas rapidamente usando ferramentas de ataque. Use uma combinação aleatória.
Intermediário;O que você deve fazer se receber um email suspeito pedindo seu usuário e senha?;Responder com seus dados para confirmar sua identidade;Clicar no link para verificar se é verdadeiro;Ignorar ou denunciar como spam/phishing;Enviar para seus amigos para eles também verificarem;3;Nunca! Empresas legítimas nunca pedem dados sensíveis por email. Isso é phishing!;Muito perigoso! O link pode levar a um site falso. Sempre vá diretamente ao site da empresa no navegador.;Correto! Sempre desconfie de emails inesperados pedindo informações pessoais.;Não! Isso pode ajudar os criminosos. Simplesmente delete ou denuncie.
Avançado;Como você deve se proteger ao usar Internet em WiFi público?;Não usar qualquer site que peça senha;Usar uma VPN (Rede Privada Virtual) para criptografar sua conexão;Confiar que a rede é segura porque tem um grande número de usuários;Usar qualquer rede WiFi sem restrições;2;Bem conservador, mas existem maneiras mais práticas de se proteger.;Excelente! Uma VPN criptografa seus dados e impede que pessoas na mesma rede os vejam.;Não, a quantidade de usuários não garante segurança. WiFis públicas são ambientes arriscados.;WiFis públicas são vulneráveis. Sempre proteja sua conexão.
Iniciante;Qual informação pessoal É SEGURO compartilhar nas redes sociais?;Seu número de documento de identidade;Sua localização em tempo real;Informações gerais como sua profissão ou hobbies favoritos;Sua senha de email ou redes sociais;3;Nunca compartilhe documentos! Podem ser usados para fraude.;Perigoso! Pode permitir que criminosos saibam quando você não está em casa.;Correto! Informações gerais podem ser compartilhadas. Evite dados sensíveis como endereço completo, telefone ou dados bancários.;Nunca! Suas senhas são o acesso principal às suas contas. Mantenha-as absolutamente privadas.
Avançado;Como identificar um site falso (site de phishing)?;"Observar se a URL começar com ""https://"" e tem um cadeado";Se o site tem um logo similar ao original, é confiável;Se o site pede muitas informações pessoais, é seguro;Se o endereço (URL) é levemente diferente do original;1;"Bom! Um site seguro deve ter HTTPS. Porém, note a URL com cuidado - ""https://amz0n.com"" é falso mesmo com HTTPS.";Não! Sites falsos frequentemente copiam logos de sites legítimos. Verifique a URL!;Aviso! Sites legítimos pedem informações apenas quando necessário. Muitas solicitações = suspeita.;Isso pode ser phishing! Criminosos usam URLs muito similares. Verifique caractere por caractere!
Intermediário;O que você deve fazer para se proteger do Cyberbullying?;Manter configurações de privacidade abertas para todos;Bloquear contatos suspeitos, não compartilhar fotos íntimas e denunciar abusos;Responder agressivamente aos comentários negativos;Aceitar solicitações de amizade de desconhecidos;2;Não! Configure sua privacidade para limitar quem pode ver suas publicações.;Correto! Proteja sua privacidade, controle o acesso ao seu perfil e denuncie comportamento ofensivo.;Não, isso pode piorar a situação. Denuncie em vez de responder.;Cuidado! Pessoas más podem se passar por outras pessoas para bullying ou golpes.
Avançado;Por que é importante manter seu software e antivírus atualizados?;Apenas para ter mais espaço no computador;Para corrigir vulnerabilidades de segurança e proteger contra novas ameaças;Porque o sistema obriga;Para deixar o computador mais lento;2;Não, atualizações ocupam espaço. Elas resolvem problemas de segurança!;Excelente! Atualizações corrigem falhas de segurança que criminosos exploram. Sempre atualize!;O sistema recomenda, mas o motivo principal é segurança.;Não! Embora atualizações possam consumir recursos, a proteção vale a pena.
Iniciante;Qual é a principal função de um antivírus?;Deixar o computador mais rápido;Proteger o computador contra vírus e golpes pela internet;Guardar fotos e documentos;Aumentar o volume do som;2;Não, ele não serve para melhorar a velocidade.;Correto! O antivírus ajuda a proteger o computador contra vírus e ameaças.;Não, guardar arquivos é função de outros programas.;Não, isso não tem relação com segurança.
Intermediário;O que é a verificação em duas etapas (2FA)?;Receber um código no celular para confirmar o acesso;Usar a mesma senha duas vezes;Pedir ajuda para outra pessoa entrar na conta;Não usar senha;1;Correto! Além da senha, você recebe um código no celular para confirmar que é você.;Não, repetir a senha não aumenta a segurança.;Não, isso pode até ser perigoso.;Não, não usar senha deixa a conta vulnerável.
Iniciante;O que devo fazer ao receber um e-mail desconhecido pedindo para clicar em um link?;Clicar no link rapidamente para ver do que se trata;Ignorar completamente sem verificar nada;Copiar o link e verificar com cuidado antes de acessar;Encaminhar o e-mail para amigos;3;Não é seguro clicar em links desconhecidos, pois podem ser golpes para roubar seus dados.;Ignorar pode até evitar o risco, mas o ideal é saber identificar se é um golpe ou não.;Correto! Copiar e verificar o link com cuidado ajuda a evitar cair em golpes.;Encaminhar pode espalhar o golpe para outras pessoas. O melhor é não compartilhar.
Iniciante;Se você receber um e-mail dizendo ser de um órgão público cobrando uma pendência financeira e pedindo para clicar em um link para regularizar, o que você deve fazer?;Não clicar no link e buscar o site oficial do órgão para verificar a informação;Clicar no link rapidamente para evitar problemas no CPF;Responder o e-mail enviando seus dados pessoais;Ignorar o risco e confiar na mensagem recebida;1;Correto! Órgãos públicos não enviam cobranças com links por e-mail. O mais seguro é acessar o site oficial para verificar.;Clicar no link pode levar a páginas falsas criadas para roubar seus dados.;Enviar dados pessoais pode expor você a golpes e fraudes.;Ignorar o risco pode fazer você cair em um golpe. Sempre desconfie de mensagens desse tipo.
Iniciante;Você recebeu uma mensagem no WhatsApp de um número desconhecido dizendo que ganhou um prêmio e pedindo para clicar num link. O que você deve fazer?;Clicar no link para ver o prêmio;Encaminhar para os amigos verem também;Ignorar, apagar a mensagem e bloquear o número;Responder perguntando mais detalhes sobre o prêmio;3;Nunca clique em links de mensagens de desconhecidos! Esse é um golpe muito comum para roubar seus dados.;Ao encaminhar, você pode estar espalhando o golpe para seus amigos e familiares. Não compartilhe mensagens suspeitas.;Correto! Mensagens de prêmios de desconhecidos são quase sempre golpes. Apague e bloqueie o número.;Responder mostra que seu número está ativo, e você pode receber ainda mais mensagens de golpe.
Iniciante;O que faz um aplicativo gerenciador de senhas?;Anota suas senhas num caderno virtual sem proteção;Guarda todas as suas senhas de forma segura e protegida;Compartilha suas senhas com outras pessoas;Deixa suas senhas visíveis para qualquer um no celular;2;Anotar senhas sem proteção é perigoso, pois qualquer pessoa com acesso ao seu dispositivo pode vê-las.;Correto! Aplicativos de guardar senhas (como o que vem no celular) protegem suas senhas com segurança e ajudam a criar senhas fortes.;Não, esses aplicativos não compartilham suas senhas. Só você tem acesso.;Não! Esses aplicativos protegem suas senhas com uma senha mestra ou pela digital do seu dedo.
Intermediário;Você percebeu que alguém entrou na sua conta de email sem sua permissão. O que você deve fazer primeiro?;Criar um novo email e esquecer o antigo;Trocar a senha do email o mais rápido possível;Esperar para ver se acontece algo de errado;Avisar seus amigos pelo mesmo email invadido;2;Criar um novo email pode ser necessário depois, mas primeiro tente recuperar o acesso trocando a senha rapidamente.;Correto! Troque a senha imediatamente. Depois, avise seus contatos para ignorarem mensagens estranhas que vieram do seu email.;Quanto mais tempo você espera, mais tempo a pessoa mal-intencionada tem para causar estragos.;Usar o email invadido para se comunicar é arriscado. A outra pessoa ainda pode estar vendo tudo. Troque a senha primeiro.
Intermediário;Qual a melhor forma de guardar cópias das suas fotos e documentos importantes?;Deixar tudo apenas no computador ou celular;Guardar somente num pen drive ou HD externo;Ter cópias em mais de um lugar: no aparelho, num pen drive e na nuvem;Fazer uma cópia por ano é suficiente;3;Se o computador ou celular estragar ou for roubado, você perde tudo. Sempre tenha cópias em outros lugares.;Melhor do que nada, mas pen drives e HDs também podem estragar ou se perder. Tenha mais de uma cópia.;Correto! O ideal é ter cópias em pelo menos dois ou três lugares diferentes. A nuvem (como Google Fotos ou iCloud) é ótima opção.;Fotos e documentos mudam o tempo todo. Faça cópias com frequência, especialmente de arquivos que você não quer perder nunca.
Avançado;Quando você desbloqueia o celular com o seu rosto ou a impressão digital, o que está usando?;Uma senha muito complicada;Uma confirmação pelo celular de outra pessoa;Uma característica do seu próprio corpo como forma de identificação;Um método menos seguro do que uma senha simples;3;Não é uma senha. É o reconhecimento de uma parte do seu corpo, como o rosto ou a digital.;Não envolve outra pessoa. É você mesmo sendo reconhecido pelo aparelho.;Correto! Usar o rosto ou a digital é chamado de autenticação biométrica. É muito seguro porque é difícil de copiar.;Ao contrário! É mais seguro do que senhas simples, porque ninguém consegue copiar o seu rosto ou sua digital facilmente.
Avançado;Por que senhas longas e difíceis são mais seguras do que senhas curtas e simples?;Porque são mais fáceis de lembrar;Porque programas usados por golpistas tentam adivinhar senhas automaticamente e senhas complexas levam muito mais tempo;Porque o celular exige senhas longas por padrão;Não faz diferença, qualquer senha é igualmente segura;2;Na verdade, senhas longas costumam ser mais difíceis de lembrar, mas são muito mais seguras.;Correto! Existem programas que tentam milhares de combinações de senha por segundo. Uma senha longa e complexa pode levar anos para ser descoberta.;O celular pode sugerir, mas a escolha é sempre sua. O motivo real é a segurança contra tentativas de invasão.;Faz muita diferença! Senhas como '123456' são descobertas em segundos. Uma senha longa e complexa é muito mais difícil de quebrar.
